Name,Genre,Year,Score,Director,Actor,Country,Duration,Link,ImageLink,Description
The Evil Dead,Horror,1981,7.5,Sam Raimi,Bruce Campbell,United States,85,https://www.imdb.com/title/tt0083907/,https://imdb-api.com/images/original/MV5BODc2MmVjZmUtNjAzMS00MDNiLWIyM2YtOGEzMjg0YjRhMzRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Five college students take time off to spend a peaceful vacation in a remote cabin. A book and audio tape is discovered, and its evil is found to be powerful once the incantations are read out loud. The friends find themselves helpless to stop the evil as it takes them one by one, with only one survivor left with the evil dead and desperately tries to fight to live until morning."
Porky's,Comedy,1981,6.2,Bob Clark,Dan Monahan,Canada,94,https://www.imdb.com/title/tt0084522/,https://imdb-api.com/images/original/MV5BZTI1MWJhNDgtNDdmNi00ZTI3LTk0NmQtODUyNzMyNmY3Zjk5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_Ratio0.6751_AL_.jpg,"In 1954, a group of teenage male students of Florida's Angel Beach High School are determined to lose their virginity. They embark on games of sexual innuendo with female classmates whose activities Billy, Tommy, and Pee Wee witness via their secret surveillance. Pee Wee is the most desperate, which gets him into one predicament after another, besides constantly being the butt of pranks. Good guy Tim deals with his learned racism that surfaces with the arrival of new student Brian Schwartz, who is Jewish. Meanwhile, new Boys' Phys Ed coach Roy Brackett is attracted to cheerleading coach Miss Lynn Honeywell, who is attracted to him but doesn't want to go all the way. Coach Brackett's goal is to find out why Coach Warren has nicknamed Miss Honeywell Lassie."" All these goings-on offend the sensibilities of the Girls' Phys Ed coach"
Blow Out,Crime,1981,7.4,Brian De Palma,John Travolta,United States,108,https://www.imdb.com/title/tt0082085/,https://imdb-api.com/images/original/MV5BZmZiMmZmNjQtNGM3OC00MTFkLWIxMzktZmJhMGYzMjYwYzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"This stylish Brian De Palma thriller plays off the theme of the unsuspecting witness who discovers a crime and is thereby put in grave danger, but with a novel twist. Jack Terry is a master audio technician who makes his living by recording unique sounds for grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust."
The Man from Snowy River,Adventure,1982,7.3,George Miller,Kirk Douglas,Australia,102,https://www.imdb.com/title/tt0084296/,https://imdb-api.com/images/original/MV5BNGMxZTA5YTgtMzU1NS00YjNiLTkzMmQtNGEyNzRhNTViNmExL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.6751_AL_.jpg,"Jim Craig has lived his first 18 years in the mountains of Australia on his father's farm. The death of his father forces him to go to the low lands to earn enough money to get the farm back on its feet. Kirk Douglas plays two roles as twin brothers who haven't spoken for years, one of whom was Jim's father's best friend and the other of whom is the father of the girl he wants to marry. A 20 year old feud re-erupts, catching Jim and Jessica in the middle of it as Jim is accused of letting a prize stallion loose."
Cat People,Fantasy,1982,6.2,Paul Schrader,Nastassja Kinski,United States,118,https://www.imdb.com/title/tt0083722/,https://imdb-api.com/images/original/MV5BMTNhY2MyNmYtNzczZi00YWEyLWJlYTgtYzZiMzM1NDE0ZjYxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_Ratio0.6751_AL_.jpg,"The Cat People originated way back in time, when humans sacrificed their women to leopards, who mated with them. Cat People look similar to humans, but must mate with other Cat People before they transform into panthers. Irene Gallier was raised by adoptive parents and meets her older brother Paul for the first time since childhood. We follow brother and sister - who seem to be the only ones of their kind left."
Fanny and Alexander,Drama,1982,8.1,Ingmar Bergman,Bertil Guve,Sweden,188,https://www.imdb.com/title/tt0083922/,https://imdb-api.com/images/original/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.6751_AL_.jpg,"It's the early twentieth century Sweden. Adolescent siblings Alexander and Fanny Ekdahl lead a relatively joyous and exuberant life with their well-off extended paternal family, led by the family matriarch, their grandmother, Helena Ekdahl. The openness of the family culture is exemplified by Helena's now deceased husband ending up becoming best friends with one of her lovers, a Jewish puppet maker named Isak Jacobi, and their Uncle Gustav Adolf's open liaison with one of the family maids, Maj, who everyone in the family adores, even Gustav Adolf's wife, Alma. Between the siblings, Alexander in particular has inherited the family's love of storytelling, his parents and his grandmother who are actors and who manage their own theater. Things change for Alexander and Fanny when their father, Oscar, dies shortly after Christmas 1907. Although she truly does believe she loves him, the children's mother, Emilie, decides to marry Bishop Edvard Vergérus, who she first met as the officiate at Oscar's funeral. She also wants a father figure for the children. Going into the marriage, Emilie has inclinations that it will be a much different life than she had with the Ekdahls, but is not prepared for the harsh, austere and strict life Edvard rules with an iron fist. Emilie, Alexander and Fanny end up being prisoners in the bishop's stark and humorless house. As Alexander butts head with his stepfather and tries to learn how to keep to his own principles while obeying Edvard, Emilie tries to figure out a way to regain her and her children's own destiny, as Edvard will not consent to divorce, and her desertion"" in the eyes of the law means that Alexander and Fanny would become his wards."""
Firefox,Action,1982,6,Clint Eastwood,Clint Eastwood,United States,136,https://www.imdb.com/title/tt0083943/,https://imdb-api.com/images/original/MV5BM2UxY2EwY2MtYmQ0ZC00NzE4LWFlNTctMWM3ZjQ5ZDE5ZGUxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.6751_AL_.jpg,"The Soviets have developed a revolutionary new jet fighter, called Firefox"". Naturally"
The Dark Crystal,Adventure,1982,7.2,Jim Henson,Jim Henson,United Kingdom,93,https://www.imdb.com/title/tt0083791/,https://imdb-api.com/images/original/MV5BNTU2MmJiZmQtZjBmMS00MTk4LWFmOWYtZGQzOTY5ODNjYWVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Another planet, another time. One thousand years ago, the mysterious Dark Crystal was damaged by one of the Urskeks and an age of chaos has began. The evil race of grotesque birdlike lizards, the Skeksis, gnomish dragons who rule their fantastic planet with an iron claw. Meanwhile, orphan Jen, raised in solitude by a race of the peace-loving wizards called the Mystics, embarks on a quest to find the missing shard of the Dark Crystal which gives the Skeksis their power and restore the balance of the universe."
The Verdict,Drama,1982,7.7,Sidney Lumet,Paul Newman,United States,129,https://www.imdb.com/title/tt0084855/,https://imdb-api.com/images/original/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_Ratio0.6751_AL_.jpg,"Frank Galvin was once a promising Boston lawyer with a bright future ahead. An incident early in his career in which he was trying to do the right thing led to him being fired from the prestigious law firm with which he was working, almost being disbarred, and his wife leaving him. Continually drowning his sorrows in booze, he is now an ambulance-chasing lawyer, preying on the weak and vulnerable, and bending the truth whenever necessary to make what few dollars he has, as he has only had a few cases in the last few years, losing the last four. His only friend in the profession is his now retired ex-partner, Mickey Morrissey, who gets Frank a case, his fee solely a percentage of what his clients are awarded. The case should net Frank tens of thousands of dollars by settling out of court, that money which would at least get him back on his feet. It is a negligence suit brought on behalf of Deborah Ann Kaye by her sister and brother-in-law, Sally and Kevin Doneghy, against St. Catherine Labouré Hospital, operated by the Archdiocese of Boston, and Drs. Towler and Marks. Kaye was admitted to the hospital for what should have been a routine delivery, but something that happened while Kaye was on the operating room table led to her brain being deprived of oxygen, resulting in permanent brain damage, and Kaye now being in a totally vegetative state requiring hospitalization for the rest of her life. Frank eventually learns that the cause seems to be that Dr. Towler, the anesthesiologist and an expert in the field, used the incorrect anesthetic for the situation. However, all but one person that was in the operating room that day has provided depositions that nothing improper occurred in the operating room. The one holdout is the operating room head nurse, Maureen Rooney, who is not talking, period, to Frank or the other side. Upon seeing the state Kaye is in, Frank unilaterally decides to do what he believes is the right thing by declining the lucrative out-of-court settlement offered by the Archdiocese and take the case to court. In doing so, he hopes the truth that the hospital and the doctors truly were negligent comes to light. Feeling that this case may be a turning point in his life, Frank has a new spring in his step, enough that he attracts the attention of Laura Fischer, the two who begin a relationship. Despite having whatever the truth is on his side, that truth which he does not know, and having an expert witness of his own, Frank has an uphill battle in that the Archdiocese has retained the services of Ed Concannon, a high-priced lawyer who has a large team of associates whose task is to help Concannon and the Archdiocese win at any cost. Concannon's task seems even easier as Judge Hoyle, the presiding judge, is already biased against Frank for taking the case to court."
The Year of Living Dangerously,Drama,1982,7.1,Peter Weir,Mel Gibson,Australia,115,https://www.imdb.com/title/tt0086617/,https://imdb-api.com/images/original/MV5BNmE3MjM4MGMtYmZiMi00MzU4LTk1YWMtMjI1YmRmNDc2MjdlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.6751_AL_.jpg,"Guy Hamilton is a journalist on his first job as a foreign correspondent. His apparently humdrum assignment to Indonesia soon turns hot as President Sukarno electrifies the populace and frightens foreign powers. Guy soon is the hottest reporter on the story with the help of his photographer, half- Chinese dwarf Billy Kwan, who has gone native. Guy's affair with diplomat Jill Bryant also helps. Eventually Guy must face some major moral choices and the relationship between Billy and him reaches a crisis at the same time the politics of Indonesia does."
Nostalghia,Drama,1983,8.1,Andrei Tarkovsky,Oleg Yankovskiy,Italy,125,https://www.imdb.com/title/tt0086022/,https://imdb-api.com/images/original/MV5BMmZmMjZhMmYtNmU5NC00MTc3LWIyZTEtMDg0MGI0MzJhZjVhXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_Ratio0.6751_AL_.jpg,"Russian poet Andrei Gorchakov, accompanied by guide and translator Eugenia's traveling through Italy researching the life of an 18th-century Russian composer. In an ancient town, he meets Domenico, who years earlier had imprisoned his family to save them from the evils of the world. Seeing some truth in Domenico's act, Andrei becomes drawn to him. In a series of dreams, the poet's nostalgia, and his sense of kinship with Domenico become intertwined."
Lone Wolf McQuade,Action,1983,6.3,Steve Carver,Chuck Norris,United States,107,https://www.imdb.com/title/tt0085862/,https://imdb-api.com/images/original/MV5BOTljMjVhYmYtZDc0Yi00OTAzLTk1NjctMDllZDEzNTc4MDQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates a martial arts showdown between the drug lord and the ranger, and involving the woman they both love."
Brainstorm,Sci-Fi,1983,6.4,Douglas Trumbull,Christopher Walken,United States,106,https://www.imdb.com/title/tt0085271/,https://imdb-api.com/images/original/MV5BZTg5OTNlOTEtMjFhZC00NWRiLWJlOWQtZTNiNDk3OGIxYmMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_Ratio0.6751_AL_.jpg,"Brilliant researchers Lillian Reynolds and Michael Brace have developed a system of recording and playing back actual experiences of people. Once the capability of tapping into higher brain functions"" is added in"
Escape from the Bronx,Action,1983,4.6,Enzo G. Castellari,Mark Gregory,Italy,89,https://www.imdb.com/title/tt0089104/,https://imdb-api.com/images/original/MV5BMDEwNTQ2YjMtNjY1NC00ZGEwLWI0OWMtMTg0YTM4Yjk5MWNlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6751_AL_.jpg,"A vicious corporation tries to kill and starve the last remaining habitants of the Bronx in order to build their own high-rise developments. A lone long-haired, hot-tempered warrior, Trash, is his only obstacle. Trash, a psychopathic bomb-maker and his equally psychopathic preschool son and an annoying activist help him out by kidnapping the President"" (of the corporation)"
"Yor, the Hunter from the Future",Action,1983,4.4,Antonio Margheriti,Reb Brown,Italy,88,https://www.imdb.com/title/tt0084935/,https://imdb-api.com/images/original/MV5BNTU4YzUwMDMtOWY3MC00YjI4LWI0ZjEtMmYxMzZjYjQzNmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6751_AL_.jpg,"Yor, an extremely blond prehistoric warrior, comes to question his origins, particularly with regard to a mysterious medallion he wears. When he learns of a desert goddess who supposedly wears the same medallion, Yor decides that he must find her and learn his true identity. Along the way, he encounters ape-men, dinosaurs, and a strange futuristic society."
Beyond the Limit,Drama,1983,5.7,John Mackenzie,Michael Caine,United Kingdom,104,https://www.imdb.com/title/tt0085236/,https://imdb-api.com/images/original/MV5BMmJlMWQwNGMtNzJkYi00NTkyLTk4ODYtZTE3NWIzZDkwMGIwXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_Ratio0.6751_AL_.jpg,"During the rule of brutal right wing military juntas in Paraguay and Argentina, Dr. Eduardo Plarr, half-English and half-Paraguayan medical doctor, returns from Buenos Aires to work in the small town of Corrientes, Argentina, where he first arrived after his escape from Paraguay years earlier. He quickly begins to form new friendships such as the one with the alcoholic British Honorary Consul, Charley Fortnum, whose beautiful Argentinian wife, a former high-class prostitute named Clara, Eduardo seduces and they have a passionate affair. He also re-establishes old ones like the one with junta's Colonel Perez and Leon, a former priest turned rebel leader, who also happens to be Eduardo's childhood friend from Paraguay. All of this comes together to create a serious problem for Eduardo when he is asked to help the rebels kidnap the US ambassador, who's coming to visit Corrientes and whose kidnapping might force the US to force the Paraguayan junta to release several political prisoners, including Eduardo's father who may or may not still be alive."
Heat and Dust,Drama,1983,6.6,James Ivory,Julie Christie,United Kingdom,130,https://www.imdb.com/title/tt0084058/,https://imdb-api.com/images/original/MV5BMTYzODI3OTI1MV5BMl5BanBnXkFtZTgwNTc1NDEzMzI@._V1_Ratio0.6751_AL_.jpg,"Anne is investigating the life of her grand-aunt Olivia, whose destiny has always been shrouded with scandal. The search leads back to the early 1920s, when Olivia, recently married to Douglas, a civil servant in the colonial administration, comes to live with him in India. Slowly, Olivia becomes fascinated by India and by the local ruler, a nawab who combines British distinction with Indian pomp and ruthlessness. This fascination is not without risks: the region is being ransacked by a group of sanguinary bandits, and intrigues are opposing the prejudiced British community led by Major Minnies and Dr. Saunders against the nawab. As Anne delves into the history of her grand-aunt, she is led to reconsider her own life."
Daniel,Drama,1983,6.6,Sidney Lumet,Timothy Hutton,United Kingdom,130,https://www.imdb.com/title/tt0085398/,https://imdb-api.com/images/original/MV5BMDZhYzM2MmUtY2E3ZC00YWQzLWJlZTctYzUxOTdmOTU0ZjlmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_Ratio0.6751_AL_.jpg,"The fictionalized story of Daniel, the son of Paul and Rochelle Isaacson, who were executed as Soviet spies in the 1950s. As a graduate student in New York in the 1960s, Daniel is involved in the antiwar protest movement and contrasts his experiences to the memory of his parents and his belief that they were wrongfully convicted."
"Paris, Texas",Drama,1984,8.1,Wim Wenders,Harry Dean Stanton,West Germany,145,https://www.imdb.com/title/tt0087884/,https://imdb-api.com/images/original/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_Ratio0.6751_AL_.jpg,"A man wanders out of the desert after a four year absence. His brother finds him, and together they return to L.A. to reunite the man with his young son. Soon after, he and the boy set out to locate the mother of the child, who left shortly after the man disappeared."
Conan the Destroyer,Action,1984,5.9,Richard Fleischer,Arnold Schwarzenegger,United States,103,https://www.imdb.com/title/tt0087078/,https://imdb-api.com/images/original/MV5BNTMzMzE3ZTQtODE4Yi00ODhiLWI3NWItOGVhNjllNjY3MzA2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_Ratio0.6751_AL_.jpg,"The wandering barbarian, Conan, alongside his goofy rogue pal, Malak, are tasked with escorting Queen Taramis' virgin niece, Princess Jehnna and her bodyguard, Bombaata, to a mystical island fortress. They must retrieve a magical crystal that will help them procure the horn that legends say can awaken the god of dreams, Dagoth. Along the way, Conan reunites with the wise wizard, Akiro and befriends the fierce female fighter, Zula. Together the heroes face ancient traps, powerful Wizards, plots of betrayal, and even the dream god, Dagoth, himself!"
Splash,Comedy,1984,6.3,Ron Howard,Tom Hanks,United States,111,https://www.imdb.com/title/tt0088161/,https://imdb-api.com/images/original/MV5BZDRmZTQ0MDQtNWRmYS00NDhhLTgzNzUtZGIyYzkwZDMyNTc0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Allen Bauer is rescued from drowning as a young boy off Cape Cod by a young mermaid. Years later, he returns to the same location, and once again manages to fall into the sea, and is rescued once more by the mermaid (Allen isn't sure what he has seen and what he has imagined). Using maps from a sunken ship, the mermaid decides to search for Allen in New York City, sprouting legs when her tail dries. On finding Allen, they fall in love, but she has a secret, which will no longer be a secret if she gets her legs wet."
The Natural,Drama,1984,7.5,Barry Levinson,Robert Redford,United States,138,https://www.imdb.com/title/tt0087781/,https://imdb-api.com/images/original/MV5BZGU5NDU4ZTctYjE2YS00NTUxLWIzMTAtMTMxNTgxODAzNDI5XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_Ratio0.6751_AL_.jpg,"An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league in this magical sports fantasy. With the aid of a bat cut from a lightning struck tree, Hobbs lives the fame he should have had earlier when, as a rising pitcher, he is inexplicably shot by a young woman."
Bachelor Party,Comedy,1984,6.3,Neal Israel,Tom Hanks,United States,105,https://www.imdb.com/title/tt0086927/,https://imdb-api.com/images/original/MV5BYjgxOWYxMGQtMTc4MC00MzdmLWI0NTgtYzc1NzFiMGU4MWRjXkEyXkFqcGdeQXVyMzYxMzc3OTM@._V1_Ratio0.6751_AL_.jpg,"Rick Gassko is about to marry Debbie Thompson. Her parents hate him. Her old boyfriend hates him. They all have money and he gets a cut of the crap games on the Catholic school bus that he drives. His friends decide to give him the bachelor party of all bachelor parties in an expensive hotel with booze, adult movies and hookers. As the players catch wind of the elements of the party, each adds a little monkey wrench so that one set of hookers ends up giving demos at the bride's shower, the brides friends end up dressed as hookers in a room with a number of non English speaking Japanese businessmen, and so on, as things get out of hand."
Three Men and a Cradle,Comedy,1985,6.6,Coline Serreau,Roland Giraud,France,106,https://www.imdb.com/title/tt0090206/,https://imdb-api.com/images/original/MV5BMmQ0MDRkYjctNDE0NC00NTIyLTkwNGMtYzAxODQ3ZjU3NTliXkEyXkFqcGdeQXVyMjM1MDEyNjU@._V1_Ratio0.6751_AL_.jpg,"Jacques, Pierre, and Michel are three adult friends who enjoy single life until they find themselves stuck with a baby."
Bal na vodi,Drama,1985,7.6,Jovan Acin,Gala Videnovic,Yugoslavia,112,https://www.imdb.com/title/tt0091200/,https://imdb-api.com/images/original/MV5BMTczMjAxNjIxMV5BMl5BanBnXkFtZTcwOTA5NzgyMQ@@._V1_Ratio0.6751_AL_.jpg,"In 1985, four middle-aged Yugoslav emigres return to Belgrade for the funeral of Mariana, their beautiful compatriot. They called her Esther, for Esther Williams, she was the coxswain for their four-man rowing team, and they each loved her. They'd last seen her in 1953, when they rowed her across the Adriatic, pregnant, to join her exiled father in Italy. In flashbacks we learn the story of their youthful baptism into sex, smoking, rock and roll (Hey Ba-ba-re-bop), Hollywood and Swedish films, blue jeans on the black market, and their rivalry with Ristic, the Communist Party youth leader for whom they had instant antipathy."
James Joyce's Women,Drama,1985,6.1,Michael Pearce,Fionnula Flanagan,Ireland,88,https://www.imdb.com/title/tt0089364/,https://imdb-api.com/images/original/MV5BMjAyMDg5Nzg5OV5BMl5BanBnXkFtZTcwNDQ5MTcyMQ@@._V1_Ratio0.6751_AL_.jpg,"In this tribute to James Joyce, Fionnula Flanagan gives a tour-de-force performance as a half-dozen or so women in Joyce's real and fictional worlds. When she portrays his wife Nora remembering their time together, Flanagan captures the era and the author in lyrical detail. As Sylvia Beach, the woman who first published Ulysses, new dimensions concerning the importance of Nora in Joyce's literary visions of women emerge, and when Flanagan interprets Joyce characters like Molly Bloom or a washerwoman from Finnegan's Wake, the beauty of Joyce's language shines through the melodious words."
